"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",-0.619484799343889,-0.6181915,0.17788123805938,0.1735212801,-0.91268275,-0.3325008,1.00014988769333,11844.5453634232,17841.8695076774
"2","beta[2]",-0.371594643192473,-0.370471,0.298749157456406,0.2902322934,-0.8629767,0.11565785,1.00028951587776,12709.8920065137,19765.2795937579
"3","beta[3]",-0.547228863631556,-0.5465045,0.297594045816235,0.2908772244,-1.037122,-0.0645587600000001,1.00053182161648,12758.8307850581,18657.5675777079
"4","beta[4]",-1.15884587408333,-1.15449,0.219093692695645,0.216318753,-1.5246235,-0.8066731,1.00037695133844,13303.6854654804,20099.454856873
"5","beta[5]",0.286670293934255,0.2862535,0.34118420678904,0.33779654769,-0.2717795,0.847681049999999,1.00030375715043,14140.7827824995,21126.917986156
"6","beta[6]",0.554411926387306,0.5539115,0.343559131320788,0.3389653554,-0.0089629455,1.1209605,1.00052649869106,13873.0347656099,20580.715468116
"7","sigmaPlot",0.363372316092222,0.35469,0.119884111617226,0.1119059067,0.18442875,0.57066245,1.00017692234506,8371.07065786077,8095.69164360686
"8","alpha_pre",0.926734710805556,0.9252175,0.0938610078119074,0.0934668105,0.77697765,1.0837205,1.00015937796173,9145.13567120053,16012.9322356225
"9","alpha_post",0.849278734851389,0.856104,0.181651648035888,0.1751640009,0.54458375,1.1338305,1.00093722420384,4647.84294247941,7362.46646983584
"10","rho_pre",3.2960032275,3.251805,0.500474503718453,0.481214895,2.5557595,4.181833,1.00010604787121,7904.98045002083,13885.4874747796
"11","rho_post",5.28829649555556,4.77067,2.16686318035089,1.550377059,3.010348,9.301443,1.0003599143544,5346.19236963046,9810.20440172122
"12","tau_pre",0.127490150678865,0.1161695,0.0784523530407826,0.07784509908,0.0202566,0.27295255,1.00062003976654,4766.9550937237,6274.99535303017
"13","tau_post",0.685524018455556,0.6692815,0.254689568936889,0.2515216074,0.29753025,1.1329835,1.00155183599786,4625.13722336551,7890.43589723179
"14","kappa",710.975830936388,89.9082,12031.5373717129,83.05836546,21.3532,1183.4305,1.00006072858423,29844.3951058201,15284.0046960567
