"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"1","beta[1]",2.63143629722222,2.63198,0.107279520080081,0.102232683,2.4567185,2.806074,1.00036855343577,13202.1947479384,19114.5321386771
"2","beta[2]",-0.2696710377027,-0.2687695,0.182131143952064,0.1734701304,-0.5668247,0.0260033249999995,1.00020375092243,13882.9375626607,19936.8167220658
"3","beta[3]",-0.248953358108814,-0.2489975,0.180211081405579,0.1718274096,-0.54184535,0.0440638449999996,1.00002233878152,14176.9036894213,20001.732646348
"4","beta[4]",-2.29462438166667,-2.291785,0.206281569993956,0.205288209,-2.6387705,-1.9598835,1.00025713091075,9348.34210684444,16656.8880273632
"5","beta[5]",0.00712943654749722,0.005370075,0.344388339389426,0.343631208795,-0.55624845,0.57660875,1.00074355132283,8889.07589527427,15500.5105468052
"6","beta[6]",-0.361255394234666,-0.3586,0.347519489919686,0.3465117894,-0.9416814,0.20416255,1.00018074360655,10737.7733355341,17431.7707910768
"7","sigmaPlot",0.240605428325611,0.2343545,0.0822394248250606,0.0754361706,0.11732035,0.38384115,1.00084238895671,5610.9734543884,6599.5073792451
"8","alpha_pre",0.632069499583333,0.631057,0.0394388253234144,0.0391265553,0.5692756,0.69846215,1.00096285800937,9010.35358047876,15728.0359690817
"9","alpha_post",1.36976342138889,1.36428,0.11229429680222,0.110698329,1.19435,1.563265,1.00021031403105,8708.207512246,16943.6010098032
"10","rho_pre",3.52255309694444,3.502015,0.362821644789495,0.35278467,2.959229,4.156695,1.00044810593968,7154.72105993957,12879.6607559953
"11","rho_post",6.88936229638889,6.8513,0.70042271640488,0.690713688,5.804378,8.1067705,1.00051555711274,6643.87987289435,13459.2824449515
"12","tau_pre",0.0816675421583333,0.0806545,0.0158509627261446,0.01555721832,0.05720377,0.10913175,1.00014982342481,7859.61836146567,14603.943101586
"13","tau_post",0.444111923527778,0.439527,0.0704688217995048,0.0700365414,0.3363338,0.5667601,1.00027397181215,8655.1706872624,17791.7582670133
"14","kappa",37.1908134194444,36.1499,7.42694916585643,6.78015219,27.002085,50.732775,1.0001559995912,14755.5182893869,23856.8160831124
